4 1000 1 2 3
西瓜数据集3.0perfect
编号	密度	含糖率	好瓜
117	0.886	0.801	是
118	0.423	0.959	是
119	0.578	0.648	是
120	0.362	0.587	否
121	0.559	0.811	是
122	0.725	0.234	是
123	0.684	0.636	是
124	0.898	0.907	是
125	0.490	0.597	是
126	0.687	0.381	是
127	0.088	0.277	否
128	0.595	0.327	是
129	0.269	0.265	否
130	0.994	0.907	是
131	0.612	0.111	否
132	0.362	0.229	否
133	0.883	0.054	是
134	0.975	0.402	是
135	0.644	0.887	是
136	0.515	0.927	是
137	0.195	0.711	否
138	0.549	0.884	是
139	0.245	0.866	否
140	0.923	0.433	是
141	0.046	0.723	否
142	0.114	0.791	否
143	0.853	0.171	是
144	0.840	0.672	是
145	0.114	0.608	否
146	0.166	0.465	否
147	0.600	0.297	是
148	0.651	0.411	是
149	0.988	0.987	是
150	0.319	0.366	否
151	0.379	0.055	否
152	0.758	0.732	是
153	0.080	0.526	否
154	0.986	0.765	是
155	0.915	0.603	是
156	0.073	0.487	否
157	0.001	0.920	否
158	0.070	0.312	否
159	0.043	0.140	否
160	0.348	0.764	否
161	0.521	0.512	是
162	0.318	0.025	否
163	0.294	0.073	否
164	0.421	0.154	否
165	0.541	0.721	是
166	0.450	0.538	否
167	0.775	0.310	是
168	0.758	0.517	是
169	0.654	0.862	是
170	0.891	0.060	是
171	0.042	0.476	否
172	0.056	0.305	否
173	0.864	0.794	是
174	0.327	0.834	否
175	0.416	0.882	是
176	0.160	0.453	否
177	0.747	0.182	是
178	0.736	0.323	是
179	0.078	0.883	否
180	0.641	0.303	是
181	0.142	0.349	否
182	0.382	0.554	否
183	0.515	0.431	否
184	0.929	0.636	是
185	0.072	0.220	否
186	0.979	0.519	是
187	0.125	0.739	否
188	0.024	0.342	否
189	0.026	0.849	否
190	0.138	0.361	否
191	0.504	0.640	是
192	0.602	0.432	是
193	0.470	0.253	否
194	0.184	0.586	否
195	0.571	0.630	是
196	0.029	0.842	否
197	0.974	0.240	是
198	0.066	0.540	否
199	0.818	0.204	是
200	0.512	0.036	否
201	0.457	0.374	否
202	0.143	0.305	否
203	0.278	0.569	否
204	0.797	0.651	是
205	0.219	0.318	否
206	0.690	0.603	是
207	0.371	0.821	否
208	0.290	0.073	否
209	0.791	0.179	是
210	0.602	0.448	是
211	0.918	0.385	是
212	0.047	0.976	否
213	0.939	0.577	是
214	0.545	0.113	否
215	0.133	0.956	否
216	0.498	0.971	是
217	0.348	0.373	否
218	0.670	0.067	否
219	0.766	0.390	是
220	0.944	0.587	是
221	0.140	0.873	否
222	0.350	0.460	否
223	0.229	0.295	否
224	0.046	0.887	否
225	0.615	0.683	是
226	0.705	0.955	是
227	0.960	0.765	是
228	0.907	0.667	是
229	0.906	0.897	是
230	0.886	0.757	是
231	0.978	0.723	是
232	0.077	0.372	否
233	0.171	0.621	否
234	0.945	0.865	是
235	0.462	0.549	否
236	0.858	0.181	是
237	0.364	0.457	否
238	0.338	0.620	否
239	0.986	0.099	是
240	0.058	0.143	否
241	0.264	0.389	否
242	0.929	0.723	是
243	0.689	0.007	否
244	0.646	0.558	是
245	0.699	0.090	是
246	0.087	0.446	否
247	0.107	0.541	否
248	0.274	0.767	否
249	0.610	0.954	是
250	0.830	0.708	是
251	0.936	0.557	是
252	0.680	0.145	是
253	0.811	0.289	是
254	0.972	0.803	是
255	0.620	0.273	是
256	0.639	0.871	是
257	0.567	0.190	否
258	0.642	0.232	是
259	0.170	0.436	否
260	0.969	0.891	是
261	0.871	0.326	是
262	0.705	0.643	是
263	0.264	0.452	否
264	0.858	0.525	是
265	0.475	0.865	是
266	0.664	0.094	是
267	0.367	0.010	否
268	0.299	0.872	否
269	0.361	0.023	否
270	0.590	0.139	否
271	0.342	0.480	否
272	0.474	0.159	否
273	0.071	0.335	否
274	0.692	0.459	是
275	0.696	0.299	是
276	0.488	0.745	是
277	0.552	0.121	否
278	0.396	0.681	否
279	0.506	0.744	是
280	0.882	0.157	是
281	0.754	0.360	是
282	0.884	0.931	是
283	0.548	0.047	否
284	0.888	0.511	是
285	0.697	0.046	是
286	0.082	0.323	否
287	0.352	0.469	否
288	0.450	0.395	否
289	0.828	0.887	是
290	0.024	0.785	否
291	0.638	0.168	是
292	0.480	0.884	是
293	0.596	0.272	是
294	0.669	0.925	是
295	0.960	0.166	是
296	0.151	0.387	否
297	0.937	0.561	是
298	0.400	0.158	否
299	0.501	0.433	否
300	0.829	0.434	是
301	0.004	0.640	否
302	0.200	0.843	否
303	0.706	0.073	是
304	0.824	0.189	是
305	0.230	0.266	否
306	0.059	0.539	否
307	0.593	0.460	是
308	0.429	0.205	否
309	0.357	0.548	否
310	0.214	0.682	否
311	0.287	0.014	否
312	0.672	0.626	是
313	0.861	0.643	是
314	0.144	0.580	否
315	0.783	0.397	是
316	0.411	0.150	否
317	0.726	0.359	是
318	0.867	0.216	是
319	0.909	0.671	是
320	0.978	0.745	是
321	0.631	0.703	是
322	0.694	0.627	是
323	0.153	0.836	否
324	0.268	0.828	否
325	0.533	0.832	是
326	0.112	0.677	否
327	0.998	0.287	是
328	0.822	0.498	是
329	0.319	0.434	否
330	0.520	0.492	是
331	0.178	0.413	否
332	0.509	0.387	否
333	0.812	0.657	是
334	0.489	0.447	否
335	0.159	0.184	否
336	0.121	0.110	否
337	0.106	0.245	否
338	0.925	0.276	是
339	0.681	0.962	是
340	0.057	0.633	否
341	0.704	0.063	是
342	0.008	0.580	否
343	0.056	0.451	否
344	0.725	0.850	是
345	0.367	0.659	否
346	0.034	0.600	否
347	0.548	0.418	是
348	0.365	0.636	否
349	0.554	0.798	是
350	0.944	0.411	是
351	0.886	0.236	是
352	0.832	0.931	是
353	0.854	0.294	是
354	0.681	0.668	是
355	0.613	0.588	是
356	0.140	0.177	否
357	0.410	0.290	否
358	0.558	0.548	是
359	0.657	0.132	是
360	0.710	0.208	是
361	0.106	0.396	否
362	0.663	0.179	是
363	0.904	0.974	是
364	0.509	0.980	是
365	0.121	0.782	否
366	0.130	0.014	否
367	0.050	0.921	否
368	0.732	0.613	是
369	0.255	0.524	否
370	0.995	0.552	是
371	0.534	0.006	否
372	0.610	0.157	否
373	0.454	0.082	否
374	0.979	0.233	是
375	0.610	0.424	是
376	0.933	0.315	是
377	0.896	0.998	是
378	0.867	0.373	是
379	0.947	0.646	是
380	0.677	0.270	是
381	0.109	0.500	否
382	0.500	0.107	否
383	0.306	0.411	否
384	0.891	0.238	是
385	0.730	0.047	是
386	0.829	0.006	是
387	0.725	0.216	是
388	0.927	0.030	是
389	0.221	0.201	否
390	0.882	0.153	是
391	0.412	0.664	否
392	0.218	0.596	否
393	0.060	0.712	否
394	0.658	0.735	是
395	0.454	0.167	否
396	0.431	0.651	否
397	0.993	0.283	是
398	0.985	0.416	是
399	0.919	0.048	是
400	0.127	0.573	否
401	0.503	0.164	否
402	0.166	0.138	否
403	0.535	0.142	否
404	0.756	0.012	是
405	0.737	0.840	是
406	0.057	0.776	否
407	0.635	0.114	否
408	0.838	0.695	是
409	0.800	0.519	是
410	0.068	0.849	否
411	0.431	0.351	否
412	0.000	0.250	否
413	0.590	0.572	是
414	0.612	0.232	是
415	0.305	0.174	否
416	0.924	0.139	是
417	0.220	0.075	否
418	0.626	0.467	是
419	0.008	0.330	否
420	0.431	0.379	否
421	0.690	0.390	是
422	0.689	0.138	是
423	0.542	0.199	否
424	0.106	0.475	否
425	0.746	0.295	是
426	0.143	0.705	否
427	0.415	0.477	否
428	0.443	0.651	是
429	0.678	0.325	是
430	0.266	0.719	否
431	0.034	0.676	否
432	0.593	0.599	是
433	0.408	0.875	是
434	0.683	0.998	是
435	0.797	0.032	是
436	0.193	0.246	否
437	0.411	0.214	否
438	0.981	0.607	是
439	0.010	0.890	否
440	0.790	0.477	是
441	0.784	0.271	是
442	0.408	0.327	否
443	0.638	0.069	否
444	0.100	0.419	否
445	0.841	0.692	是
446	0.008	0.985	否
447	0.826	0.149	是
448	0.730	0.915	是
449	0.016	0.849	否
450	0.913	0.148	是
451	0.171	0.343	否
452	0.027	0.867	否
453	0.813	0.873	是
454	0.232	0.578	否
455	0.063	0.240	否
456	0.320	0.464	否
457	0.845	0.410	是
458	0.945	0.604	是
459	0.482	0.576	是
460	0.606	0.958	是
461	0.701	0.260	是
462	0.835	0.175	是
463	0.475	0.109	否
464	0.681	0.648	是
465	0.334	0.720	否
466	0.363	0.823	否
467	0.084	0.145	否
468	0.127	0.716	否
469	0.528	0.897	是
470	0.221	0.858	否
471	0.340	0.850	否
472	0.952	0.876	是
473	0.201	0.112	否
474	0.852	0.376	是
475	0.480	0.610	是
476	0.254	0.351	否
477	0.603	0.888	是
478	0.223	0.835	否
479	0.544	0.316	否
480	0.538	0.580	是
481	0.076	0.483	否
482	0.722	0.878	是
483	0.110	0.782	否
484	0.436	0.945	是
485	0.775	0.014	是
486	0.200	0.201	否
487	0.632	0.023	否
488	0.614	0.833	是
489	0.466	0.510	否
490	0.244	0.515	否
491	0.239	0.328	否
492	0.170	0.361	否
493	0.393	0.711	否
494	0.285	0.387	否
495	0.592	0.917	是
496	0.679	0.790	是
497	0.839	0.489	是
498	0.992	0.116	是
499	0.508	0.763	是
500	0.258	0.928	否
501	0.028	0.305	否
502	0.437	0.851	是
503	0.961	0.445	是
504	0.596	0.297	是
505	0.674	0.092	是
506	0.174	0.759	否
507	0.057	0.511	否
508	0.224	0.430	否
509	0.261	0.837	否
510	0.068	0.900	否
511	0.404	0.841	是
512	0.768	0.958	是
513	0.096	0.362	否
514	0.354	0.753	否
515	0.615	0.061	否
516	0.571	0.255	否
517	0.649	0.288	是
518	0.842	0.461	是
519	0.344	0.051	否
520	0.936	0.745	是
521	0.286	0.239	否
522	0.329	0.335	否
523	0.924	0.945	是
524	0.576	0.300	否
525	0.818	0.570	是
526	0.097	0.690	否
527	0.382	0.942	是
528	0.138	0.982	否
529	0.208	0.164	否
530	0.925	0.570	是
531	0.453	0.815	是
532	0.173	0.658	否
533	0.420	0.671	否
534	0.638	0.255	是
535	0.563	0.234	否
536	0.882	0.955	是
537	0.099	0.609	否
538	0.335	0.962	是
539	0.359	0.042	否
540	0.209	0.771	否
541	0.015	0.106	否
542	0.996	0.647	是
543	0.620	0.240	是
544	0.488	0.980	是
545	0.494	0.686	是
546	0.378	0.140	否
547	0.662	0.247	是
548	0.155	0.708	否
549	0.083	0.061	否
550	0.766	0.706	是
551	0.399	0.558	否
552	0.503	0.928	是
553	0.336	0.132	否
554	0.376	0.768	否
555	0.580	0.293	否
556	0.693	0.483	是
557	0.226	0.920	否
558	0.864	0.608	是
559	0.198	0.758	否
560	0.803	0.291	是
561	0.077	0.536	否
562	0.867	0.686	是
563	0.492	0.584	是
564	0.270	0.035	否
565	0.643	0.875	是
566	0.024	0.393	否
567	0.940	0.127	是
568	0.622	0.338	是
569	0.639	0.712	是
570	0.110	0.367	否
571	0.490	0.279	否
572	0.510	0.216	否
573	0.710	0.915	是
574	0.816	0.277	是
575	0.055	0.142	否
576	0.737	0.471	是
577	0.042	0.759	否
578	0.098	0.138	否
579	0.422	0.676	否
580	0.100	0.026	否
581	0.610	0.888	是
582	0.306	0.850	否
583	0.810	0.131	是
584	0.801	0.542	是
585	0.912	0.911	是
586	0.215	0.247	否
587	0.525	0.583	是
588	0.424	0.970	是
589	0.682	0.652	是
590	0.987	0.932	是
591	0.117	0.125	否
592	0.227	0.215	否
593	0.273	0.668	否
594	0.256	0.157	否
595	0.467	0.460	否
596	0.515	0.753	是
597	0.290	0.147	否
598	0.984	0.477	是
599	0.781	0.303	是
600	0.437	0.117	否
601	0.644	0.721	是
602	0.924	0.924	是
603	0.357	0.493	否
604	0.866	0.882	是
605	0.083	0.749	否
606	0.067	0.718	否
607	0.464	0.522	否
608	0.584	0.442	是
609	0.621	0.857	是
610	0.083	0.112	否
611	0.330	0.495	否
612	0.131	0.581	否
613	0.415	0.054	否
614	0.526	0.701	是
615	0.319	0.463	否
616	0.588	0.859	是
617	0.046	0.950	否
618	0.485	0.860	是
619	0.724	0.218	是
620	0.096	0.930	否
621	0.437	0.392	否
622	0.140	0.808	否
623	0.408	0.695	否
624	0.236	0.284	否
625	0.812	0.270	是
626	0.257	0.944	否
627	0.410	0.263	否
628	0.309	0.939	否
629	0.138	0.365	否
630	0.339	0.824	否
631	0.961	0.592	是
632	0.140	0.241	否
633	0.284	0.763	否
634	0.086	0.931	否
635	0.601	0.679	是
636	0.580	0.152	否
637	0.066	0.827	否
638	0.472	0.168	否
639	0.252	0.088	否
640	0.448	0.096	否
641	0.462	0.747	是
642	0.554	0.081	否
643	0.177	0.496	否
644	0.159	0.554	否
645	0.035	0.113	否
646	0.302	0.714	否
647	0.397	0.598	否
648	0.268	0.500	否
649	0.413	0.055	否
650	0.013	0.500	否
651	0.032	0.334	否
652	0.152	0.883	否
653	0.634	0.491	是
654	0.184	0.948	否
655	0.612	0.231	是
656	0.304	0.454	否
657	0.062	0.403	否
658	0.766	0.822	是
659	0.248	0.926	否
660	0.158	0.371	否
661	0.399	0.222	否
662	0.936	0.109	是
663	0.548	0.632	是
664	0.352	0.465	否
665	0.908	0.158	是
666	0.024	0.420	否
667	0.673	0.728	是
668	0.309	0.600	否
669	0.771	0.177	是
670	0.571	0.095	否
671	0.634	0.738	是
672	0.558	0.069	否
673	0.987	0.706	是
674	0.162	0.413	否
675	0.398	0.367	否
676	0.907	0.937	是
677	0.651	0.893	是
678	0.698	0.696	是
679	0.327	0.311	否
680	0.599	0.273	是
681	0.584	0.138	否
682	0.437	0.412	否
683	0.874	0.410	是
684	0.379	0.537	否
685	0.445	0.571	否
686	0.790	0.498	是
687	0.076	0.845	否
688	0.252	0.333	否
689	0.575	0.859	是
690	0.028	0.671	否
691	0.551	0.186	否
692	0.919	0.556	是
693	0.391	0.677	否
694	0.059	0.651	否
695	0.418	0.334	否
696	0.963	0.194	是
697	0.221	0.495	否
698	0.049	0.229	否
699	0.675	0.096	是
700	0.437	0.610	否
701	0.128	0.554	否
702	0.632	0.619	是
703	0.472	0.256	否
704	0.254	0.019	否
705	0.966	0.040	是
706	0.667	0.283	是
707	0.704	0.906	是
708	0.828	0.293	是
709	0.262	0.405	否
710	0.049	0.561	否
711	0.119	0.027	否
712	0.607	0.260	是
713	0.858	0.923	是
714	0.127	0.951	否
715	0.107	0.043	否
716	0.301	0.411	否
717	0.013	0.984	否
718	0.362	0.248	否
719	0.882	0.299	是
720	0.638	0.879	是
721	0.181	0.619	否
722	0.400	0.804	是
723	0.624	0.516	是
724	0.641	0.350	是
725	0.706	0.881	是
726	0.634	0.582	是
727	0.258	0.797	否
728	0.517	0.643	是
729	0.038	0.091	否
730	0.584	0.309	是
731	0.515	0.594	是
732	0.539	0.296	否
733	0.335	0.910	否
734	0.189	0.208	否
735	0.521	0.002	否
736	0.224	0.502	否
737	0.282	0.404	否
738	0.562	0.440	是
739	0.071	0.714	否
740	0.565	0.151	否
741	0.591	0.018	否
742	0.418	0.657	否
743	0.436	0.599	否
744	0.429	0.811	是
745	0.643	0.864	是
746	0.722	0.282	是
747	0.236	0.175	否
748	0.627	0.215	是
749	0.590	0.355	是
750	0.493	0.264	否
751	0.297	0.243	否
752	0.662	0.161	是
753	0.514	0.475	是
754	0.588	0.643	是
755	0.578	0.657	是
756	0.099	0.259	否
757	0.203	0.251	否
758	0.401	0.303	否
759	0.865	0.471	是
760	0.363	0.297	否
761	0.520	0.538	是
762	0.403	0.959	是
763	0.376	0.758	否
764	0.082	0.963	否
765	0.778	0.538	是
766	0.511	0.059	否
767	0.188	0.682	否
768	0.888	0.262	是
769	0.625	0.266	是
770	0.767	0.980	是
771	0.209	0.130	否
772	0.570	0.074	否
773	0.633	0.746	是
774	0.141	0.440	否
775	0.370	0.993	是
776	0.551	0.467	是
777	0.317	0.685	否
778	0.507	0.299	否
779	0.577	0.478	是
780	0.875	0.470	是
781	0.238	0.574	否
782	0.121	0.340	否
783	0.862	0.442	是
784	0.962	0.056	是
785	0.783	0.488	是
786	0.027	0.422	否
787	0.257	0.539	否
788	0.966	0.140	是
789	0.472	0.021	否
790	0.752	0.943	是
791	0.927	0.374	是
792	0.585	0.292	是
793	0.563	0.233	否
794	0.471	0.750	是
795	0.629	0.396	是
796	0.641	0.805	是
797	0.654	0.849	是
798	0.136	0.643	否
799	0.143	0.812	否
800	0.854	0.389	是
801	0.497	0.203	否
802	0.231	0.352	否
803	0.553	0.299	否
804	0.566	0.595	是
805	0.113	0.412	否
806	0.823	0.636	是
807	0.123	0.444	否
808	0.270	0.578	否
809	0.290	0.381	否
810	0.664	0.708	是
811	0.555	0.357	否
812	0.838	0.881	是
813	0.212	0.725	否
814	0.383	0.536	否
815	0.466	0.006	否
816	0.279	0.791	否
817	0.160	0.368	否
818	0.883	0.101	是
819	0.235	0.444	否
820	0.476	0.960	是
821	0.912	0.609	是
822	0.963	0.826	是
823	0.779	0.498	是
824	0.613	0.653	是
825	0.331	0.685	否
826	0.559	0.980	是
827	0.451	0.048	否
828	0.138	0.666	否
829	0.894	0.679	是
830	0.789	0.077	是
831	0.335	0.481	否
832	0.622	0.548	是
833	0.588	0.678	是
834	0.339	0.031	否
835	0.895	0.556	是
836	0.467	0.814	是
837	0.566	0.574	是
838	0.798	0.779	是
839	0.706	0.994	是
840	0.992	0.224	是
841	0.400	0.054	否
842	0.560	0.863	是
843	0.565	0.943	是
844	0.496	0.430	否
845	0.570	0.701	是
846	0.678	0.190	是
847	0.567	0.238	否
848	0.629	0.706	是
849	0.475	0.179	否
850	0.053	0.373	否
851	0.354	0.840	否
852	0.217	0.036	否
853	0.114	0.625	否
854	0.967	0.163	是
855	0.029	0.939	否
856	0.989	0.058	是
857	0.176	0.753	否
858	0.632	0.600	是
859	0.756	0.521	是
860	0.153	0.580	否
861	0.612	0.976	是
862	0.009	0.830	否
863	0.974	0.744	是
864	0.799	0.371	是
865	0.860	0.271	是
866	0.578	0.927	是
867	0.129	0.507	否
868	0.993	0.183	是
869	0.638	0.515	是
870	0.131	0.137	否
871	0.861	0.420	是
872	0.933	0.217	是
873	0.136	0.779	否
874	0.754	0.929	是
875	0.574	0.262	否
876	0.558	0.825	是
877	0.649	0.124	否
878	0.140	0.362	否
879	0.057	0.169	否
880	0.834	0.408	是
881	0.202	0.171	否
882	0.782	0.281	是
883	0.267	0.931	否
884	0.508	0.953	是
885	0.938	0.110	是
886	0.962	0.272	是
887	0.092	0.610	否
888	0.524	0.449	是
889	0.722	0.565	是
890	0.923	0.450	是
891	0.183	0.273	否
892	0.068	0.012	否
893	0.276	0.498	否
894	0.063	0.101	否
895	0.467	0.228	否
896	0.266	0.521	否
897	0.464	0.448	否
898	0.250	0.595	否
899	0.506	0.490	是
900	0.060	0.344	否
901	0.323	0.791	否
902	0.696	0.166	是
903	0.601	0.685	是
904	0.122	0.176	否
905	0.256	0.739	否
906	0.152	0.799	否
907	0.357	0.366	否
908	0.625	0.126	否
909	0.429	0.347	否
910	0.709	0.849	是
911	0.472	0.182	否
912	0.911	0.395	是
913	0.788	0.405	是
914	0.965	0.977	是
915	0.739	0.726	是
916	0.396	0.031	否
917	0.975	0.674	是
918	0.959	0.287	是
919	0.038	0.069	否
920	0.921	0.043	是
921	0.403	0.902	是
922	0.933	0.559	是
923	0.102	0.194	否
924	0.539	0.995	是
925	0.545	0.732	是
926	0.487	0.818	是
927	0.488	0.913	是
928	0.251	0.552	否
929	0.360	0.783	否
930	0.467	0.943	是
931	0.465	0.647	是
932	0.389	0.289	否
933	0.885	0.228	是
934	0.478	0.132	否
935	0.126	0.104	否
936	0.774	0.371	是
937	0.250	0.849	否
938	0.855	0.181	是
939	0.959	0.198	是
940	0.867	0.502	是
941	0.783	0.991	是
942	0.439	0.712	是
943	0.624	0.848	是
944	0.140	0.195	否
945	0.709	0.133	是
946	0.770	0.962	是
947	0.880	0.425	是
948	0.739	0.233	是
949	0.082	0.737	否
950	0.076	0.608	否
951	0.281	0.765	否
952	0.909	0.785	是
953	0.304	0.351	否
954	0.900	0.687	是
955	0.696	0.281	是
956	0.952	0.914	是
957	0.804	0.896	是
958	0.548	0.180	否
959	0.520	0.961	是
960	0.635	0.206	是
961	0.783	0.744	是
962	0.448	0.990	是
963	0.250	0.777	否
964	0.893	0.118	是
965	0.321	0.839	否
966	0.432	0.030	否
967	0.989	0.102	是
968	0.295	0.964	否
969	0.415	0.912	是
970	0.230	0.428	否
971	0.696	0.431	是
972	0.345	0.012	否
973	0.153	0.951	否
974	0.812	0.825	是
975	0.052	0.930	否
976	0.078	0.765	否
977	0.872	0.877	是
978	0.091	0.930	否
979	0.535	0.500	是
980	0.585	0.418	是
981	0.852	0.528	是
982	0.323	0.825	否
983	0.429	0.797	是
984	0.650	0.351	是
985	0.857	0.311	是
986	0.324	0.865	否
987	0.414	0.801	是
988	0.422	0.882	是
989	0.253	0.017	否
990	0.245	0.115	否
991	0.700	0.354	是
992	0.564	0.575	是
993	0.150	0.987	否
994	0.306	0.641	否
995	0.303	0.483	否
996	0.295	0.285	否
997	0.814	0.531	是
998	0.542	0.667	是
999	0.391	0.533	否
1000	0.981	0.684	是
